DATE,TIME,FORECAST_VALUE,MEASURED_VALUE
2023-01-20,00:00,6034.91,6169
2023-01-20,01:00,5687.9,5768
2023-01-20,02:00,5287.6,5384
2023-01-20,03:00,5023.27,5096
2023-01-20,04:00,4911.19,4961
2023-01-20,05:00,4973.92,4974
2023-01-20,06:00,5234.84,5167
2023-01-20,07:00,5562.69,5528
2023-01-20,08:00,5877.41,5875
2023-01-20,09:00,6097.64,6137
2023-01-20,10:00,6156.7,6212
2023-01-20,11:00,6195.29,6234
2023-01-20,12:00,6178.75,6159
2023-01-20,13:00,6125.99,6010
2023-01-20,14:00,6027.82,5792
2023-01-20,15:00,6095.02,5692
2023-01-20,16:00,6498.2,5892
2023-01-20,17:00,6679.58,6183
2023-01-20,18:00,6648.61,6166
2023-01-20,19:00,6579.31,6048
2023-01-20,20:00,6441.5,5990
2023-01-20,21:00,6273.25,5926
2023-01-20,22:00,6172.72,5970
2023-01-20,23:00,6113.13,6008
