DATE,TIME,FORECAST_VALUE,MEASURED_VALUE
2023-01-19,00:00,6090.82,6301
2023-01-19,01:00,5687.11,5859
2023-01-19,02:00,5294.69,5460
2023-01-19,03:00,5045.32,5141
2023-01-19,04:00,4972.61,5104
2023-01-19,05:00,5188.38,5281
2023-01-19,06:00,5756.41,5779
2023-01-19,07:00,6201.06,6258
2023-01-19,08:00,6321.55,6428
2023-01-19,09:00,6339.13,6470
2023-01-19,10:00,6305.53,6364
2023-01-19,11:00,6268.79,6314
2023-01-19,12:00,6165.1,6218
2023-01-19,13:00,6133.08,6116
2023-01-19,14:00,6023.1,6025
2023-01-19,15:00,6106.04,6041
2023-01-19,16:00,6570.91,6384
2023-01-19,17:00,6744.42,6603
2023-01-19,18:00,6760.43,6732
2023-01-19,19:00,6658.06,6674
2023-01-19,20:00,6548.08,6506
2023-01-19,21:00,6331.78,6335
2023-01-19,22:00,6179.01,6276
2023-01-19,23:00,6095.81,6163
